,Other_currency,Indian_rates
0,Argentine Peso,1.093309
1,Australian Dollar,52.113818
2,Bahraini Dinar,202.798117
3,Botswana Pula,6.602846
4,Brazilian Real,14.356315
5,Bruneian Dollar,54.565160
6,Bulgarian Lev,43.581722
7,Canadian Dollar,56.036832
8,Chilean Peso,0.093287
9,Chinese Yuan Renminbi,10.782086
10,Colombian Peso,0.020350
11,Croatian Kuna,11.261240
12,Czech Koruna,3.196953
13,Danish Krone,11.430471
14,Euro,85.238440
15,Hong Kong Dollar,9.838410
16,Hungarian Forint,0.246368
17,Icelandic Krona,0.551396
18,Indonesian Rupiah,0.005352
19,Iranian Rial,0.001815
20,Israeli Shekel,22.096585
21,Japanese Yen,0.713536
22,Kazakhstani Tenge,0.188779
23,South Korean Won,0.062914
24,Kuwaiti Dinar,247.772567
25,Libyan Dinar,54.478957
26,Malaysian Ringgit,17.859959
27,Mauritian Rupee,1.907965
28,Mexican Peso,3.367825
29,Nepalese Rupee,0.622084
30,New Zealand Dollar,48.861581
31,Norwegian Krone,7.906448
32,Omani Rial,198.314933
33,Pakistani Rupee,0.456631
34,Philippine Peso,1.522776
35,Polish Zloty,19.094323
36,Qatari Riyal,20.948377
37,Romanian New Leu,17.603178
38,Russian Ruble,1.097711
39,Saudi Arabian Riyal,20.333891
40,Singapore Dollar,54.565160
41,South African Rand,4.404092
42,Sri Lankan Rupee,0.412019
43,Swedish Krona,8.046576
44,Swiss Franc,80.058052
45,Taiwan New Dollar,2.576127
46,Thai Baht,2.458518
47,Trinidadian Dollar,11.286640
48,Turkish Lira,11.131376
49,Emirati Dirham,20.762993
50,British Pound,94.167495
51,US Dollar,76.252092
52,Venezuelan Bolivar,7.634753
