,Currencies,Short Form,Sat Jun 27 01:30:42 2020,Sat Jun 27 01:31:23 2020
0,Indonesian Rupiah,IDR,188.62100,188.83800
1,Israeli New Sheqel,ILS,0.04539,0.04540
2,Jordanian Dinar,JOD,0.00937,0.00937
3,Japanese Yen,JPY,1.41719,1.41719
4,Kenyan Shilling,KES,1.40813,1.40813
5,South Korean Won,KRW,15.91680,15.91540
6,Lithuanian Litas,LKR,2.46192,2.46192
7,Moroccan Dirham,MAD,0.12846,0.12846
8,Mexican Peso,MXN,0.30455,0.30455
9,Swedish Krona,SEK,0.12336,0.12336
10,Singapore Dollar,SGD,0.01842,0.01842
11,Thai Baht,THB,0.40869,0.40869
12,Tunisian Dinar,TND,0.03772,0.03772
13,Turkish Lira,TRY,0.09063,0.09063
14,New Taiwan Dollar,TWD,0.39064,0.39064
15,Ukrainian Hryvnia,UAH,0.35336,0.35336
16,US Dollar,USD,0.01322,0.01322
17,Uruguayan Peso,UYU,0.55644,0.55644
18,Colombian Peso,COP,49.56240,49.56240
19,Czech Republic Koruna,CZK,0.31519,0.31519
20,Danish Krone,DKK,0.08778,0.08778
21,Chinese Yuan,CNY,0.09359,0.09359
22,Pakistani Rupee,PKR,2.21401,2.21401
23,Egyptian Pound,EGP,0.21367,0.21367
24,Euro,EUR,0.01178,0.01178
25,Fijian Dollar,FJD,0.02877,0.02877
26,British Pound Sterling,GBP,0.01071,0.01071
27,Hong Kong Dollar,HKD,0.10247,0.10247
28,Croatian Kuna,HRK,0.08901,0.08900
29,Hungarian Forint,HUF,4.18817,4.18782
30,United Arab Emirates Dirham,AED,0.04857,0.04857
31,Argentine Peso,ARS,0.92838,0.92838
32,Australian Dollar,AUD,0.01927,0.01927
33,Bulgarian Lev,BGN,0.02304,0.02303
34,Brunei Dollar,BND,0.01842,0.01842
35,Bolivian Boliviano,BOB,0.09143,0.09143
36,Brazilian Real,BRL,0.07224,0.07222
37,Canadian Dollar,CAD,0.01807,0.01807
38,Swiss Franc,CHF,0.01253,0.01253
39,Chilean Peso,CLP,10.83340,10.84030
40,Vietnamese Dong,VND,306.89400,306.89400
41,South African Rand,ZAR,0.22845,0.22848
42,Malaysian Ringgit,MYR,0.05674,0.05674
43,New Zealand Dollar,NZD,0.02059,0.02059
44,Peruvian Nuevo Sol,PEN,0.04666,0.04666
45,Philippine Peso,PHP,0.66043,0.66043
46,Polish Zloty,PLN,0.05261,0.05261
47,Romanian Leu,RON,0.05703,0.05703
48,Serbian Dinar,RSD,1.38480,1.38420
49,Russian Ruble,RUB,0.92265,0.92263
50,Saudi Riyal,SAR,0.04960,0.04960
