,Currency,Sat Jun 27 13:07:45 2020,Sat Jun 27 13:07:48 2020
0,Argentine Peso,0.927613,0.927613
1,Australian Dollar,0.019266,0.019266
2,Bahraini Dinar,0.004972,0.004972
3,Botswana Pula,0.155693,0.155693
4,Brazilian Real,0.072455,0.072455
5,Bruneian Dollar,0.018427,0.018427
6,Bulgarian Lev,0.023052,0.023052
7,Canadian Dollar,0.018103,0.018103
8,Chilean Peso,10.850486,10.850486
9,Chinese Yuan Renminbi,0.093600,0.093600
10,Colombian Peso,49.569823,49.569823
11,Croatian Kuna,0.089069,0.089069
12,Czech Koruna,0.315517,0.315517
13,Danish Krone,0.087842,0.087842
14,Euro,0.011786,0.011786
15,Hong Kong Dollar,0.102489,0.102489
16,Hungarian Forint,4.188209,4.188209
17,Icelandic Krona,1.831134,1.831134
18,Indonesian Rupiah,189.811314,189.811314
19,Iranian Rial,555.732463,555.732463
20,Israeli Shekel,0.045376,0.045376
21,Japanese Yen,1.417384,1.417384
22,Kazakhstani Tenge,5.323694,5.323694
23,South Korean Won,15.921992,15.921992
24,Kuwaiti Dinar,0.004073,0.004073
25,Libyan Dinar,0.018505,0.018505
26,Malaysian Ringgit,0.056744,0.056744
27,Mauritian Rupee,0.532475,0.532475
28,Mexican Peso,0.304889,0.304889
29,Nepalese Rupee,1.607500,1.607500
30,New Zealand Dollar,0.020592,0.020592
31,Norwegian Krone,0.128552,0.128552
32,Omani Rial,0.005085,0.005085
33,Pakistani Rupee,2.214872,2.214872
34,Philippine Peso,0.660413,0.660413
35,Polish Zloty,0.052668,0.052668
36,Qatari Riyal,0.048135,0.048135
37,Romanian New Leu,0.057080,0.057080
38,Russian Ruble,0.922714,0.922714
39,Saudi Arabian Riyal,0.049589,0.049589
40,Singapore Dollar,0.018427,0.018427
41,South African Rand,0.228268,0.228268
42,Sri Lankan Rupee,2.466250,2.466250
43,Swedish Krona,0.123430,0.123430
44,Swiss Franc,0.012535,0.012535
45,Taiwan New Dollar,0.390736,0.390736
46,Thai Baht,0.408761,0.408761
47,Trinidadian Dollar,0.089464,0.089464
48,Turkish Lira,0.090646,0.090646
49,Emirati Dirham,0.048564,0.048564
50,British Pound,0.010719,0.010719
51,US Dollar,0.013224,0.013224
52,Venezuelan Bolivar,0.132072,0.132072
